;Tweets;ID
310;melhor deu furo 12 horas;1230283348221841411
311;deu furo reportagem pe;1230283278957105152
312;acho alguem deu furo furado;1230283123507826688
313;deu furo hj;1230282601644032001
314;ro pt deu furo hoje;1230282448052850694
315;claro porteiro confirmou patricia deu furo;1230282089490239488
316;deu furo hem;1230282071073054721
317;afinal contas deu furo;1230281878390890497
318;verinha fale pinoquia deu furo pinoquiano;1230280306734903296
319;nao vi jornalista deu furo reportagem hj nao provou crime fake news;1230279882921463809
320;ficaram bunda divulgou fakes news pt jornalista deu furo vao;1230279850096779264
321;imprensa passar pano pior chamado pm gordo dito deu furo dai gritaria pais cassacao prisao hora;1230279764222627840
322;nao acertou perdao nego deu furo nao sabia tava dizendo crl mister foda;1230279622073442305
323;tadinha deu furo pior falou furo reportagem nao mete presidente 60 milhoes brasileiros cambada encarar;1230279615085793280
324;jornalista furo entao nao deu furo fake news ficar;1230278543747289095
325;furo deu hoje;1230276997567385600
326;folha deu regua estragou furo jornalistico;1230276688682143744
327;deu furo;1230276463410196481
328;deu furo parabens;1230276286108573696
329;entao realmente deu furo ne;1230276062820622339
330;bolsonaro falou jornalista deu furo reportagem protocolaram medidas senador atropelar policiais retroescavadeira nao coroneis brasilzao pais;1230275913893449728
331;deputado otoni paula hoje cpmi censura explicou bolsonaro disse furo nao furico lidice mato quase deu luz palavra furico repreendeu engracado;1230274728516079616
332;deu furo;1230274528451932160
333;patricia deu furo hoje;1230273948908236801
334;esquerda esperando fato trator fingir aconteceu cpmi censura desviar foco pete pagou disparos whatsapp elecoes 2018 jornas augusta deu furo errado comentendo crime eleitoral;1230273757027192833
335;deu furo hj;1230273720763195394
336;furo ne filho puta respeito mae deu ne arrombado presidente inferno toma cu nao representa maldito;1230273715990077445
337;durante passeata amor deus muita malandragem manipulacao informacao profissao jornalismo descredito deu furo tambem;1230272971610238976
338;yacows confirmou patricia deu furo falso 2018 hans nao mentiu ministro moro parabens;1230272792077258753
339;sera menina deu furo nao levou;1230272781570494467
340;deu furo hein;1230272513164349441
341;doida adversario politico deu furo reportagem;1230270873992663044
342;licao aprendi hoje falar furo jornalista queria presidente errado porem retroescavadeira homens mulheres criancas certo agressor deu minutos grevistas;1230270650759221249
343;crime jargao classe profissional problema furo deu fakenews;1230270142774468613
344;nao deu nenhum furo reportagem postagem;1230269929435340801
345;porteiro deu furo jornalista folha;1230269866663436288
346;deu furo lula;1230269299438366727
347;acho alguem deu furo reportagem;1230269188175953925
348;nao acredito nao deu furo;1230269116931616770
349;deu furo mao hein professora;1230268639674347521
350;vera deu furo gordo;1230268159195779072
351;hoje deu saudade umbigo furadinho sera furo;1230267896636547072
352;deu furo bloqueio levou bolas pistola;1230267065694588932
353;kkkjkkk deu furo;1230265506474659842
354;furo nao deu;1230264784509161473
355;entao deu furo idiota;1230264779895451649
356;falando nao tao burro furo reportagem deu produziu materia falsa manipular eleicao bosta pt desmascarado cpi fake news empresa contratada disparos massa proprio pt;1230264716578185218
357;pena bala borracha;1230263275515994117
358;absurdo policia erraram varios tiros;1230263157995773952
359;absurdo policia erraram varios tiros;1230263071538581506
360;deu furo;1230262995927928832
361;deu furo tbm;1230262952198131713
362;jornalixo quis furo nao deu fod haddad pt inteiro mesma;1230262583749488640
363;terra corone usa se trator conter botar ordem pior falar fulana deu furo;1230262345735299079
364;acaso descobriu haddad escondeu combinaram furo nao deu pq bolsobaro nao laia foda se furo quiser atirou fud haddad pt inteiro ria babaca;1230261798156328971
365;cpmi explicar deu furo jornalistico rs;1230260993852366848
366;realmente video mostra furo reportagem furo falso vale furo triste realidade imprensa doutrinada nao deu furo populacao;1230260834028400641
367;kkkkk deu furo reportagem;1230260601273884672
368;bolsonaro razao deu furo mentiu;1230260588535844866
369;jornalista folha deu furo errado coitada;1230260450006196224
370;deu furo;1230260412400181248
371;mente deu furo;1230260103061876737
372;falando bosta ricardo deixa maria rosario;1230259620997931009
373;cala boca velho senil;1230259430249443333
374;deu algum furo hoje;1230259349521604609
375;deu furo ein;1230258841683742721
376;deu furo mao;1230258493187395587
377;deu furo nao furos;1230257325790892038
378;deu furo;1230256521973575680
379;uai furo nao palavra proibidas deu furo;1230256504848179200
380;deu furo gracas deus presidente;1230256360023056386
381;sentiu ofendida pq deu furo agradeceu furo mundo turma lacracao passa vergonha;1230256355111510016
382;deu furo reportagem;1230256160541941768
383;confiar vida jornalista puta confio puta nao saia apregoando deu furo;1230255928785723392
384;definitivamente brasil nao amadores pcm nao deu furo;1230255704805707776
385;legal deu furo tambem;1230255531140505602
386;deu furo pr;1230254844042260480
387;sifuder deu algum furo hoje reportagem talkei;1230254627578404864
388;putinha pt;1230254196156518400
389;nao deu furo;1230254067508817920
390;canalha defendedo canalha;1230253975187881985
391;pena bala borracha;1230253835945467905
392;deu furo conseguir noticia;1230253822087487488
393;deu furo;1230253790416252930
394;deu furo jornalistico precisou trepar fonte;1230253370985893888
395;deu furo entao mafinha;1230253209085714445
396;deu furo mafia;1230252963681226752
397;bando fdp deu furo oq vermes;1230252930881728512
398;opiniao peido dum frescu;1230252892956827648
399;deu furo patricia;1230252740380692481
400;esquerda estao analisando furo falcao deu hoje;1230252497291370498
401;pq nao calas;1230252483756335104
402;ptricia deu furo fica passar impune;1230252244609662976
403;furo deu;1230251979533844481
404;deu furo hoje;1230251355660570626
405;senil;1230251255198617603
406;deu furo;1230250891825025031
407;guga noblat profissao filho;1230250852935491591
408;irmao tentou matar varias pessoas pena bala borracha;1230250290324156417
409;engole choro;1230249939982311429
